Year,Month,Global_Anomaly,NH_Anomaly,SH_Anomaly,Land_Anomaly,Ocean_Anomaly
1880,1,-0.2719487897,-0.33993598712500006,-0.20396159227500002,-0.36713086609500006,-0.17676671330500002
1880,2,-0.323087932908,-0.38770551948959997,-0.2584703463264,-0.4361687094258,-0.21000715639019998
1880,3,-0.03212500295699999,-0.03694375340054999,-0.027306252513449994,-0.04336875399194999,-0.020881251922049995
1880,4,-0.21686471115300002,-0.23855118226830005,-0.1951782400377,-0.29276736005655,-0.14096206224945002
1880,5,-0.20571664765999997,-0.216002480043,-0.19543081527699996,-0.27771747434099997,-0.13371582097899998
1880,6,-0.27231061896139996,-0.27231061896139996,-0.27231061896139996,-0.36761933559788995,-0.17700190232490998
1880,7,-0.23151144658400002,-0.21993587425480002,-0.24308701891320003,-0.31254045288840004,-0.15048244027960003
1880,8,-0.023927946441999998,-0.022731549119899996,-0.0251243437641,-0.0323027276967,-0.0155531651873
1880,9,-0.20267710159000002,-0.20267710159000002,-0.20267710159000002,-0.27361408714650004,-0.13174011603350003
1880,10,-0.3015983872593,-0.33175822598523,-0.27143854853337,-0.407157822800055,-0.196038951718545
1880,11,-0.161267222614,-0.1935206671368,-0.12901377809120002,-0.21771075052890002,-0.10482369469910001
1880,12,-0.16316991293999997,-0.20396239117499995,-0.12237743470499998,-0.22027938246899997,-0.10606044341099999
1881,1,-0.06423051969999999,-0.08028814962499999,-0.04817288977499999,-0.086711201595,-0.041749837804999995
1881,2,-0.08962504290800001,-0.10755005148960001,-0.07170003432640001,-0.12099380792580003,-0.058256277890200006
1881,3,-0.06592754295699998,-0.07581667440054998,-0.05603841151344999,-0.08900218299194998,-0.04285290292204999
1881,4,0.05469495284699999,0.060164448131699994,0.04922545756229999,0.07383818634344999,0.035551719350549994
1881,5,0.01394016234000002,0.014637170457000023,0.013243154223000018,0.01881921915900003,0.009061105521000014
1881,6,-0.2951432689614,-0.2951432689614,-0.2951432689614,-0.39844341309789,-0.19184312482490998
1881,7,-0.094180076584,-0.0894710727548,-0.0988890804132,-0.12714310338840001,-0.061217049779600005
1881,8,-0.06082303644199999,-0.057781884619899984,-0.0638641882641,-0.0821110991967,-0.039534973687299996
1881,9,-0.20100718158999997,-0.20100718158999997,-0.20100718158999997,-0.2713596951465,-0.13065466803349998
1881,10,-0.1433321572593,-0.15766537298523003,-0.12899894153337002,-0.19349841230005504,-0.09316590221854501
1881,11,-0.272069342614,-0.3264832111368,-0.2176554740912,-0.3672936125289,-0.17684507269910002
1881,12,-0.10655509293999998,-0.13319386617499998,-0.07991631970499999,-0.14384937546899998,-0.06926081041099999
1882,1,0.09782469030000002,0.12228086287500002,0.07336851772500001,0.13206333190500003,0.06358604869500001
1882,2,0.01187686709199999,0.014252240510399987,0.009501493673599993,0.01603377057419999,0.007719963609799994
1882,3,0.0035037170430000097,0.004029274599450011,0.0029781594865500084,0.004730018008050014,0.0022774160779500062
1882,4,-0.181092181153,-0.1992013992683,-0.1629829630377,-0.24447444455655,-0.11770991774945
1882,5,-0.17716051765999996,-0.18601854354299996,-0.16830249177699996,-0.23916669884099998,-0.11515433647899997
1882,6,-0.2635971089614,-0.2635971089614,-0.2635971089614,-0.35585609709789,-0.17133812082490998
1882,7,-0.219318156584,-0.2083522487548,-0.2302840644132,-0.2960795113884,-0.1425568017796
1882,8,-0.15295154644199999,-0.14530396911989998,-0.1605991237641,-0.2064845876967,-0.0994185051873
1882,9,-0.05961795159000001,-0.05961795159000001,-0.05961795159000001,-0.08048423464650002,-0.038751668533500004
1882,10,-0.30871136725930004,-0.33958250398523004,-0.27784023053337004,-0.41676034580005505,-0.20066238871854503
1882,11,-0.287265332614,-0.34471839913679997,-0.2298122660912,-0.3878081990289,-0.18672246619910002
1882,12,-0.49690818293999994,-0.6211352286749999,-0.37268113720499996,-0.670826046969,-0.322990318911
1883,1,-0.33066737970000004,-0.413334224625,-0.24800053477500003,-0.44640096259500006,-0.21493379680500002
1883,2,-0.338375542908,-0.40605065148959996,-0.2707004343264,-0.4568069829258,-0.2199441028902
